Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,0,23.220.203.49,58119,443,54,36.24832581633134,0
TLS,TCP,1,192.168.1.2,443,58119,1514,36.31522222812095,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.41649222310032,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.53484419829928,1
TCP,TCP,0,23.220.203.49,58119,443,54,36.67621210059886,0
TLS,TCP,1,192.168.1.2,443,58119,1514,36.80576438419999,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.917551895950126,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.90640549318066,1
TCP,TCP,0,23.220.203.49,58119,443,54,37.04659612015218,0
TLS,TCP,1,192.168.1.2,443,58119,1514,37.17493830689823,1
TCP,TCP,0,23.220.203.49,58119,443,54,37.31482270964872,0
TLS,TCP,1,192.168.1.2,443,58119,1514,37.44279235953416,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.52925986348023,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.63309983331468,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.62470156577516,1
TCP,TCP,0,23.220.203.49,58119,443,54,37.73369086020206,0
TLS,TCP,1,192.168.1.2,443,58119,1514,37.86599717614414,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.99813865180202,1
TLS,TCP,1,192.168.1.2,443,58119,1514,38.11824870186711,1
TCP,TCP,0,23.220.203.49,58119,443,54,38.24408174176163,0
TLS,TCP,1,192.168.1.2,443,58119,1514,38.32803728321808,1
TLS,TCP,1,192.168.1.2,443,58119,1514,38.42358381132218,1
TLS,TCP,1,192.168.1.2,443,58119,1514,38.512877425161776,1
TCP,TCP,0,23.220.203.49,58119,443,54,38.631694910645855,0
TLS,TCP,1,192.168.1.2,443,58119,1514,38.690557583853526,1
TLS,TCP,1,192.168.1.2,443,58119,1514,38.772978225033945,1
TCP,TCP,0,23.220.203.49,58119,443,54,38.896913543094,0
TLS,TCP,1,192.168.1.2,443,58119,1514,38.942880487261384,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.0423239411787,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.093671772238956,1
TCP,TCP,0,23.220.203.49,58119,443,54,39.21643424580491,0
TLS,TCP,1,192.168.1.2,443,58119,1514,39.31503273235935,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.395373159941066,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.42154973835465,1
TCP,TCP,0,23.220.203.49,58119,443,54,39.53121340712548,0
TLS,TCP,1,192.168.1.2,443,58119,1514,39.658644553544356,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.70782893662867,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.79271980152519,1
TLS,TCP,1,192.168.1.2,443,58119,1514,39.79348883488687,1
TCP,TCP,0,23.220.203.49,58119,443,54,39.877778829412435,0
TLS,TCP,1,192.168.1.2,443,58119,818,39.9498321515766,1
TLS,TCP,1,192.168.1.2,443,58119,1100,40.045527506201665,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.17693940903778,1
TLS,TCP,1,192.168.1.2,443,58119,686,40.26615307261302,1
TLS,TCP,1,192.168.1.2,443,58119,1100,40.373137261608825,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.46785286218946,1
TLS,TCP,1,192.168.1.2,443,58119,686,40.3823053172378,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.494283126473185,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.576104803892854,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.66964540514524,1
TCP,TCP,0,23.220.203.49,58119,443,54,40.7929540840856,0
TLS,TCP,1,192.168.1.2,443,58119,1514,40.87400395126135,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.948780135147224,1
TLS,TCP,1,192.168.1.2,443,58119,1514,40.97526568736302,1
TCP,TCP,0,23.220.203.49,58119,443,54,41.08552800785708,0
TLS,TCP,1,192.168.1.2,443,58119,1514,41.15351277607976,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.22724471065094,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.30071928876555,1
TCP,TCP,0,23.220.203.49,58119,443,54,41.37994748237181,0
TLS,TCP,1,192.168.1.2,443,58119,1514,41.46493193689407,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.56772544149459,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.664282801235956,1
TCP,TCP,0,23.220.203.49,58119,443,54,41.79081298706018,0
TLS,TCP,1,192.168.1.2,443,58119,1514,41.862770303259204,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.91032114516234,1
TLS,TCP,1,192.168.1.2,443,58119,1514,41.99989808120377,1
TCP,TCP,0,23.220.203.49,58119,443,54,42.11344566180109,0
TLS,TCP,1,192.168.1.2,443,58119,1514,42.17836226475939,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.26724842163904,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.349846039662,1
TCP,TCP,0,23.220.203.49,58119,443,54,42.45647024019596,0
TLS,TCP,1,192.168.1.2,443,58119,1514,42.4537616013095,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.54167680091226,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.63542364703925,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.68048504789938,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.749535466429776,1
TCP,TCP,0,23.220.203.49,58119,443,54,42.872883510967,0
TLS,TCP,1,192.168.1.2,443,58119,1514,42.91721128490433,1
TLS,TCP,1,192.168.1.2,443,58119,1514,42.937146147563496,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.04156626512085,1
TCP,TCP,0,23.220.203.49,58119,443,54,43.157941681519354,0
TCP,TCP,0,23.220.203.49,58119,443,54,43.28026819819398,0
TLS,TCP,1,192.168.1.2,443,58119,1514,43.39639364981656,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.48187331510924,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.34246794732816,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.42736074408361,1
TCP,TCP,0,23.220.203.49,58119,443,54,43.54836490598297,0
TCP,TCP,0,23.220.203.49,58119,443,54,43.66926808788064,0
TLS,TCP,1,192.168.1.2,443,58119,1514,43.759653239049776,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.75269002775427,1
TLS,TCP,1,192.168.1.2,443,58119,1514,43.83651758275134,1
TCP,TCP,0,23.220.203.49,58119,443,54,43.88377078303091,0
TLS,TCP,1,192.168.1.2,443,58119,1514,43.97322161056964,1
TLS,TCP,1,192.168.1.2,443,58119,934,44.0746136534641,1
TLS,TCP,1,192.168.1.2,443,58119,1100,44.16368211646383,1
TCP,TCP,0,23.220.203.49,58119,443,54,44.27080584571651,0
TLS,TCP,1,192.168.1.2,443,58119,1514,44.37778528493829,1
TLS,TCP,1,192.168.1.2,443,58119,686,44.46019947692247,1
TLS,TCP,1,192.168.1.2,443,58119,1514,44.51190416519657,1
TLS,TCP,1,192.168.1.2,443,58119,686,44.59999437013358,1
TCP,TCP,0,23.220.203.49,58119,443,54,44.68789049520522,0
TLS,TCP,1,192.168.1.2,443,58119,1514,44.80006002294627,1
TLS,TCP,1,192.168.1.2,443,58119,1514,44.9182384335845,1
TLS,TCP,1,192.168.1.2,443,58119,272,44.87097151083637,1
TCP,TCP,0,23.220.203.49,58119,443,54,44.951930757854115,0
TLS,TCP,1,192.168.1.2,443,58119,1514,45.05714124577392,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.13160117612674,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.199742332945135,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.27379965413722,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.335417802971875,1
TLS,TCP,1,192.168.1.2,443,58119,1026,45.34186193422173,1
TCP,TCP,0,23.220.203.49,58119,443,54,45.35435724545801,0
TCP,TCP,0,23.220.203.49,58119,443,54,45.45804076216177,0
TLS,TCP,1,192.168.1.2,443,58119,1514,45.54937710001726,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.62222201949332,1
